drive,xmission,fuelType,classId,id,make,year,hp,torque
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi A3 3.2,Audi,2009,250,236
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi A3 2.0 T AT,Audi,2009,200,207
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2009 Audi A3 2.0 T,Audi,2009,200,207
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi A3 2.0 T Quattro,Audi,2009,200,207
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi A3 2.0 T Quattro,Audi,2009,200,207
All-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2009 Audi A5 3.2,Audi,2009,265,243
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi A5 3.2 AT,Audi,2009,265,243
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi Q7 4.2,Audi,2009,350,325
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi Q7 3.6,Audi,2009,280,266
All-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2009 Audi A4 Sedan 2.0 T Quattro,Audi,2009,211,258
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi A4 Sedan 2.0 T Quattro AT,Audi,2009,211,258
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Audi A4 Sedan 3.2,Audi,2009,265,243
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Acura TL,Acura,2012,280,254
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Acura TL SH-AWD,Acura,2012,305,273
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 BMW X5 M SUV,BMW,2010,555,500
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 BMW X5 M SUV,BMW,2011,555,500
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 BMW X6 M,BMW,2010,555,500
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 BMW X6 M,BMW,2011,555,500
Rear-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Chevrolet Colorado Work Truck,Chevrolet,2012,185,190
Rear-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2012,185,190
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2012 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2012,185,190
Rear-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Chevrolet Colorado Work Truck,Chevrolet,2011,185,190
Rear-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2011,185,190
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2011,185,190
Rear-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Chevrolet Colorado Work Truck,Chevrolet,2010,185,190
Rear-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2010,185,190
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Chevrolet Colorado Crew Cab LT1,Chevrolet,2010,185,190
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2012 Chevrolet Express LS 1500,Chevrolet,2012,310,334
All-wheel drive,4 Speed Automatic,E85,Automatic transmission,2012 Chevrolet Express LS 1500 AWD,Chevrolet,2012,310,334
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Chevrolet Express LS 1500,Chevrolet,2011,310,334
All-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Chevrolet Express LS 1500 AWD,Chevrolet,2011,310,334
Rear-wheel drive,6 Speed Automatic,E85,Automatic transmission,2011 Chevrolet Express LS 2500,Chevrolet,2011,280,295
Rear-wheel drive,6 Speed Automatic,E85,Automatic transmission,2011 Chevrolet Express LS 2500 6.0L,Chevrolet,2011,324,373
Rear-wheel drive,4 Speed Automatic,E85,Automatic transmission,2010 Chevrolet Express LS 1500,Chevrolet,2010,310,334
All-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Chevrolet Express LS 1500 AWD,Chevrolet,2010,310,334
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Chevrolet Silverado 1500 Work Truck,Chevrolet,2011,195,260
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2011,302,305
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2011,195,260
